,North America:,,,,,South America:,,,,,Europe:,,,,,Former USSR:,,,,,Africa/Middle East:,,,,,Asia:,,,,,Oceania:,,,,,Global:,,,,
Year,Air,Air (Hg0),Air (Hg2+),Land/Water,Total Hg,Air,Air (Hg0),Air (Hg2+),Land/Water,Total Hg,Air,Air (Hg0),Air (Hg2+),Land/Water,Total Hg,Air,Air (Hg0),Air (Hg2+),Land/Water,Total Hg,Air,Air (Hg0),Air (Hg2+),Land/Water,Total Hg,Air,Air (Hg0),Air (Hg2+),Land/Water,Total Hg,Air,Air (Hg0),Air (Hg2+),Land/Water,Total Hg,Air,Air (Hg0),Air (Hg2+),Land/Water,Total Hg
1850,87.79622728,69.99057913,17.80564815,304.1061679,391.9023952,11.18387065,8.941267874,2.242602774,301.4525365,312.6364071,260.8145414,205.5998683,55.21467305,714.3578056,975.172347,21.69115178,17.31340304,4.377748739,32.03329185,53.72444363,0.087574517,0.036556206,0.051018311,0.15824745,0.245821967,1.303984308,0.564312248,0.73967206,2.433530283,3.737514591,5.215419041,4.171781825,1.043637215,7.726206526,12.94162557,388.092769,306.6177687,81.4750003,1362.267786,1750.360555
1860,121.2351604,96.32801489,24.90714548,456.6431487,577.878309,11.83761572,9.455567206,2.382048517,302.2462957,314.0839115,316.5357513,248.2536556,68.28209572,795.0385951,1111.574346,22.1343399,17.59104763,4.543292274,32.88729394,55.02163385,0.216724135,0.095589357,0.121134777,0.412198058,0.628922193,2.709963818,1.140651178,1.56931264,5.220220302,7.93018412,39.79123128,31.82992981,7.961301474,59.37393367,99.16516495,514.4607866,404.6944557,109.7663309,1651.821685,2166.282472
1870,495.4666941,394.8924594,100.5742347,2336.423177,2831.889871,12.24850727,9.748179061,2.500328212,311.2773304,323.5258377,411.5683679,320.7553932,90.81297464,991.64095,1403.209318,27.06819422,21.32362793,5.744566295,40.22108607,67.28928029,0.694692164,0.310305972,0.384386192,1.307859411,2.002551575,4.961189691,2.065732342,2.895457349,9.863291235,14.82448093,33.57029959,26.84914221,6.721157381,49.95267022,83.52296981,985.5779449,775.9448402,209.6331047,3740.686364,4726.264309
1880,975.999902,778.0363362,197.9635658,3139.498688,4115.49859,30.86445445,24.59439337,6.270061079,659.1658721,690.0303265,631.1050316,493.0535846,138.051447,1593.831814,2224.936845,30.49717114,23.77865018,6.718520959,44.92344574,75.42061687,2.675661222,1.751244187,0.924417034,3.915074693,6.590735915,23.9381713,16.22237603,7.715795268,36.58609542,60.52426672,26.72581428,21.35882251,5.366991771,39.63128045,66.35709473,1721.806206,1358.795407,363.010799,5517.55227,7239.358476
1890,1374.197152,1094.117992,280.0791605,2414.805347,3789.002499,31.65672608,25.13254536,6.524180724,709.3753956,741.0321217,749.5754509,583.6071773,165.9682736,1996.963363,2746.538814,86.24053949,67.97671439,18.2638251,234.7068037,320.9473432,16.69449747,13.56048548,3.134011992,24.84907778,41.54357525,42.02142696,29.5964251,12.42500186,63.22249881,105.2439258,159.6250348,127.6625203,31.96251453,236.2872102,395.912245,2460.010828,1941.65386,518.3569683,5680.209696,8140.220524
1900,1052.762526,833.6619646,219.1005611,2008.584579,3061.347105,49.33054981,39.06047551,10.2700743,1048.820684,1098.151234,605.8988755,463.8733838,142.0254917,1476.487341,2082.386217,88.27180233,68.98917606,19.28262627,239.4869699,327.7587722,22.94790494,18.05568515,4.892219797,33.18265836,56.1305633,72.70708874,54.06787316,18.63921559,104.3210987,177.0281874,278.2650651,222.5307683,55.73429676,410.4706956,688.7357607,2170.183812,1700.239327,469.9444855,5321.354027,7491.537839
1910,632.2505428,491.1922013,141.0583415,1201.527391,1833.777934,223.0535489,179.285096,43.7684529,333.0191398,556.0726887,691.1168765,528.1135621,163.0033144,1677.217915,2368.334791,63.63414722,50.06087142,13.5732758,101.1432098,164.777357,220.6244846,187.869298,32.7551866,336.6927315,557.3172161,137.2135116,108.686606,28.52690566,208.4724849,345.6859965,210.073278,168.4122722,41.66100584,308.1574106,518.2306886,2177.96639,1713.619907,464.3464827,4166.230283,6344.196672
1920,381.1158908,269.6117948,111.504096,723.9821387,1105.09803,132.2581988,106.3259882,25.93221062,201.7068579,333.9650567,396.1017269,284.6406054,111.4611215,909.5054446,1305.607172,36.60122677,26.37065744,10.23056933,70.56638986,107.1676166,212.1481394,180.5881023,31.56003709,345.2844128,557.4325522,169.5585092,126.5526219,43.00588728,308.2299736,477.7884828,28.07374033,23.30658661,4.767153716,42.58048285,70.65422318,1355.857432,1017.396357,338.4610756,2601.8557,3957.713133
1930,399.9571849,281.1703805,118.7868044,954.9650423,1354.922227,97.57604876,77.35242686,20.2236219,162.8601926,260.4362413,430.3504197,301.6530043,128.6974155,915.5718863,1345.922306,90.70251378,68.36552023,22.33699356,216.0484502,306.750964,252.4851083,215.9155723,36.56953596,465.852036,718.3371443,219.6410368,164.4089074,55.23212943,477.3842524,697.0252891,23.73765551,19.22066952,4.516985998,31.80721124,55.54486675,1514.449968,1128.086481,386.3634867,3224.489071,4738.939039
1940,447.7746456,304.6727723,143.1018733,1415.898927,1863.673572,113.4177331,88.28172554,25.13600756,240.7913725,354.2091056,614.7672987,417.4070638,197.360235,1489.72875,2104.496049,197.0956749,143.122735,53.97293989,452.5812112,649.6768861,349.1247566,298.5154975,50.60925911,728.1656246,1077.290381,435.5258868,314.9111152,120.6147716,1102.595379,1538.121266,28.68919394,21.65626257,7.032931369,63.48641016,92.1756041,2186.39519,1588.567172,597.8280178,5493.247674,7679.642863
1950,371.3327017,175.4134183,195.9192834,1050.031858,1421.36456,58.6188086,37.75850058,20.86030802,123.9262438,182.5450524,318.3482509,176.7604836,141.5877674,723.1850019,1041.533253,194.2580197,133.7864116,60.47160808,485.8183232,680.076343,243.5635521,203.0018956,40.56165649,547.5819378,791.1454898,130.5661672,67.13321409,63.43295312,292.6649368,423.231104,12.91468581,9.068618883,3.846066929,37.36836098,50.28304679,1329.602186,802.9225427,526.6796434,3260.576663,4590.178849
1960,502.7941822,271.6936493,231.1005328,1313.11118,1815.905362,104.0672481,63.45028605,40.61696208,230.1198103,334.1870584,558.9857036,308.7763139,250.2093897,1188.845283,1747.830987,252.8513856,162.8622212,89.98916439,583.9661689,836.8175544,374.2645426,308.7081787,65.55636389,962.4202053,1336.684748,624.1444875,416.2649977,207.8794899,1777.975677,2402.120165,13.32418489,8.630519307,4.693665583,51.09395589,64.41814078,2430.431735,1540.386166,890.0455684,6107.532281,8537.964015
1970,782.1988714,477.6831232,304.5157482,1805.524799,2587.723671,62.40982182,41.21915493,21.19066688,203.3981028,265.8079246,1036.573202,630.2887629,406.284439,2125.961255,3162.534457,198.365386,133.7690544,64.59633155,551.3475948,749.7129808,413.0523865,360.9389083,52.11347819,1344.0512,1757.103586,516.4779448,360.2140202,156.2639246,1757.117514,2273.595459,15.33967223,9.503093599,5.836578633,61.29421272,76.63388495,3024.417285,2013.616118,1010.801167,7848.694678,10873.11196
1980,492.4223822,298.8946437,193.5277385,2092.19243,2584.614812,74.15359098,52.95345371,21.20013726,233.9310991,308.0846901,508.7435148,305.9069572,202.8365576,1959.567157,2468.310672,213.01866,141.8225558,71.19610413,646.5295037,859.5481637,368.0541873,308.9541375,59.10004975,1265.602475,1633.656662,314.4845512,194.147028,120.3375232,831.5347255,1146.019277,11.72484848,7.257297128,4.467551356,76.00341096,87.72825944,1982.601735,1309.936073,672.6656617,7105.360801,9087.962536
1990,324.1765309,135.4254764,188.7510545,1776.191013,2100.367544,154.5958813,120.0913517,34.50452962,536.2211703,690.8170516,309.8360893,129.2298372,180.6062521,1864.901172,2174.737262,188.5339295,114.3028888,74.23104068,798.9549298,987.4888592,371.8215903,295.7986283,76.02296198,1300.664376,1672.485966,585.1869448,335.8002824,249.3866624,1623.230508,2208.417453,26.4461886,17.44541701,9.00077159,298.5210511,324.9672397,1960.597155,1148.093882,812.5032728,8198.684221,10159.28138
2000,172.8161527,82.91788278,89.89826991,1247.329203,1420.145356,239.0055461,199.6993183,39.3062278,769.3447461,1008.350292,155.2924496,79.42825293,75.86419667,895.3481508,1050.6406,114.9168508,70.28220704,44.63464379,520.3180361,635.234887,365.2584299,303.1761495,62.08228034,1083.897313,1449.155743,886.9341096,548.725763,338.2083466,2217.158016,3104.092125,28.49359838,20.31099452,8.182603855,397.440178,425.9337764,1962.717137,1304.540568,658.176569,7130.835643,9093.55278
2010,109.3311542,35.87702635,73.45412785,1033.652008,1142.983162,263.5992115,232.8521038,30.74710772,843.1434193,1106.742631,85.70491913,21.21743153,64.48748761,597.5735329,683.2784521,86.53774271,43.96165189,42.57609082,427.0786897,513.6164324,383.1881068,294.1580909,89.03001583,887.3691054,1270.557212,1255.450116,557.5891826,697.8609338,3170.647792,4426.097908,25.63790975,15.93016899,9.707740752,371.9833225,397.6212322,2209.44916,1201.585656,1007.863504,7331.447869,9540.89703
